,NIDID,month,alpha,release_adj,increment1,increment2,increment3,inc_mult,demand_factor,cell_id,lat,lon,cell_id_orig,lat_orig,lon_orig,WBM_Decision
121,AL01421,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
122,AL01421,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
123,AL01421,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
124,AL01421,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
125,AL01421,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
126,AL01421,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
127,AL01421,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
128,AL01421,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
129,AL01421,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
130,AL01421,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
131,AL01421,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2558135,32.575001,-85.89167,2558135,32.575,-85.8917,WBM Input
132,AL01422,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
133,AL01422,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
134,AL01422,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
135,AL01422,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
136,AL01422,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
137,AL01422,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
138,AL01422,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
139,AL01422,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
140,AL01422,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
141,AL01422,10,1.760587732,1.041663199,0.913412703,0.005319987,-0.173878732,1.215574816,-0.988063184,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
142,AL01422,11,1.781410204,0.992012595,1.0,-0.025227312,-0.199966422,1.213773585,-0.987784772,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
143,AL01422,12,1.758965505,0.81561556,1.0,0.015297241,-0.127460404,1.069273191,-0.998755608,2558130,32.541668,-85.89167,2558130,32.5417,-85.8917,WBM Input
144,AL01423,1,1.627180309,0.765339124,0.867181944,-0.082477382,-0.199990306,0.999991115,-1.116124237,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
145,AL01423,2,2.058060575,0.887357186,0.752603948,-0.000331262,-0.079155834,1.000289571,-1.042881734,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
146,AL01423,3,2.361218306,1.088225552,0.783121992,-0.082320852,-0.199990443,1.105858803,-1.00333789,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
147,AL01423,4,3.205215216,1.117709523,0.319823814,-0.130751577,-0.254156662,1.001123762,-0.924621885,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
148,AL01423,5,2.886471506,1.258611896,0.340580244,-0.121659485,0.296341471,1.41571572,-1.043041451,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
149,AL01423,6,2.475211202,1.311330375,0.282630801,0.010638193,0.580898343,1.176191658,-1.088315368,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
150,AL01423,7,1.603973568,1.330324038,0.241100411,0.03187576,0.542390296,0.999970361,-1.047576564,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
151,AL01423,8,1.44799897,1.274844718,0.512088772,0.066549517,0.209461418,1.000329125,-1.00241782,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
152,AL01423,9,1.553237391,1.103000827,0.917017916,0.092906772,0.199924223,1.13531206,-0.991521334,2557768,32.625,-86.258331,2557768,32.625,-86.2583,"No WBM Input, Hydro"
