,NIDID,cell_id,cell_id_orig,lat,lat_orig,lon,lon_orig,res_capacity,storage_ratio,storage_ratio_25th,storage_ratio_75th,parameter_type,WBM_Decision,ror_type,,*res_capacity is maximum storage in acre-feet
379,IL00749,59397,59397,39.724964,39.725,-89.591698,-89.5917,101205,0.528669532,0.132167383,0.396502149,avge,WBM Input,Unknown,,
380,IL00971,100086,100086,39.208332,39.2083,-89.474998,-89.475,38900,0.334190231,0.083547558,0.250642674,avge,WBM Input,Unknown,,
381,IL01073,54550,54550,40.141666,40.1417,-88.875,-88.875,250000,0.2968,0.0742,0.2226,avge,WBM Input,Unknown,,
382,IL01089,3260,3260,41.525002,41.525,-90.525002,-90.525,30000,1,0.25,0.75,avge,WBM Input,Unknown,,
383,IL01233,151499,151499,39.391666,39.3917,-87.791664,-87.7917,40300,0.435459057,0.108864764,0.326594293,avge,WBM Input,Unknown,,
384,IL01238,2795,2795,40.408333,40.4083,-91.35833,-91.3583,292000,1,0.25,0.75,avge,WBM Input,Unknown,,
385,IL50077,2153,2153,38.875,38.875,-90.158333,-90.1583,238000,1,0.25,0.75,avge,WBM Input,Unknown,,
386,IL50499,2616,2616,37.174999,37.175,-88.425003,-88.425,738700,0.549614187,0.137403547,0.41221064,avge,WBM Input,Unknown,,
387,IL55063,27222,27222,42.158333,42.1583,-88.291664,-88.2917,24200,1,0.25,0.75,avge,WBM Input,Unknown,,
388,IN00010,107335,107335,39.258335,39.2583,-86.408333,-86.4083,45700,0.291028446,0.072757112,0.218271335,avge,WBM Input,Unknown,,
389,IN00038,187529,187529,40.141666,40.1417,-85.291664,-85.2917,36670,0.59994546,0.149986365,0.449959095,avge,WBM Input,Unknown,,
390,IN00084,72312,72312,39.825001,39.825,-86.308334,-86.3083,110000,0.218181818,0.054545455,0.163636364,avge,WBM Input,Unknown,,
391,IN00356,60969,60969,39.908333,39.9083,-85.974998,-85.975,60000,0.353,0.08825,0.26475,avge,WBM Input,Unknown,,
392,IN00523,172108,172108,39.058334,39.0583,-87.525002,-87.525,55070,0.250590158,0.062647539,0.187942618,avge,WBM Input,Unknown,,
393,IN00552,187441,187441,40.025002,40.025,-85.308334,-85.3083,25550,0.622309198,0.155577299,0.466731898,avge,WBM Input,Unknown,,
394,IN03001,46163,46163,39.008335,39.0083,-86.491669,-86.4917,441000,0.413265306,0.103316327,0.30994898,avge,WBM Input,Unknown,,
395,IN03002,54820,54820,39.474998,39.475,-86.908333,-86.9083,228120,0.118849728,0.124067997,0.17657949,calibrated,WBM Input,Unknown,,
396,IN03003,60688,60688,39.741665,39.7417,-87.058334,-87.0583,132800,0.370948795,0.187517398,0.389374686,calibrated,WBM Input,Unknown,,
397,IN03004,33764,33764,40.708332,40.7083,-85.941666,-85.9417,368400,0.20412595,0.082773391,0.205839778,calibrated,WBM Input,Unknown,,
398,IN03005,41757,41757,40.808334,40.8083,-85.675003,-85.675,263600,0.230273141,0.065237462,0.208844763,calibrated,WBM Input,Unknown,,
399,IN03006,33806,33806,40.841667,40.8417,-85.458336,-85.4583,153100,0.081645983,0.033285879,0.083622431,calibrated,WBM Input,Unknown,,
400,IN03007,199931,199931,38.891666,38.8917,-86.85833,-86.8583,29800,0.42885906,0.107214765,0.321644295,avge,WBM Input,Unknown,,
401,IN03017,48940,48940,39.441666,39.4417,-84.991669,-84.9917,359600,0.514182425,0.128545606,0.385636819,avge,WBM Input,Unknown,,
402,IN03018,71009,71009,38.441666,38.4417,-86.724998,-86.725,301640,0.554601512,0.531417308,0.661354196,calibrated,WBM Input,Unknown,,
403,KS00001,61301,61301,38.674999,38.675,-96.508331,-96.5083,346655,0.140384532,0.035096133,0.105288399,avge,WBM Input,Unknown,,
404,KS00002,38636,38636,37.275002,37.275,-95.791664,-95.7917,850405,0.054235335,0.042350884,0.055762076,calibrated,WBM Input,Unknown,,
405,KS00003,38988,38988,37.641666,37.6417,-96.058334,-96.0583,256400,0.08824883,0.086606545,0.108818621,calibrated,WBM Input,Unknown,,
406,KS00004,19357,19357,38.241665,38.2417,-95.758331,-95.7583,626007,0.096901472,0.088961165,0.133119284,calibrated,WBM Input,Unknown,,
407,KS00005,13192,13192,38.608334,38.6083,-97.974998,-97.975,433000,0.141759815,0.103271732,0.137043618,calibrated,WBM Input,Unknown,,
408,KS00006,67157,67157,38.375,38.375,-97.091667,-97.0917,189200,0.426427061,0.369914585,0.432174042,calibrated,WBM Input,Unknown,,
409,KS00007,50599,50599,38.508335,38.5083,-95.708336,-95.7083,363000,0.424242424,0.382349493,0.44079815,calibrated,WBM Input,Unknown,,
410,KS00008,6970,6970,39.075001,39.075,-96.89167,-96.8917,1145000,0.339563319,0.320702089,0.368304059,calibrated,WBM Input,Unknown,,
411,KS00009,30010,30010,39.108334,39.1083,-95.425003,-95.425,770000,1,0.272128196,0.323490859,calibrated,WBM Input,Unknown,,
412,KS00010,54875,54875,38.658333,38.6583,-95.558334,-95.5583,254600,0.277297722,0.231363503,0.293866469,calibrated,WBM Input,Unknown,,
413,KS00011,35462,35462,37.741665,37.7417,-95.925003,-95.925,318900,0.065851364,0.065946696,0.087677252,calibrated,WBM Input,Unknown,,
414,KS00012,11890,11890,39.258335,39.2583,-96.591667,-96.5917,2257000,0.148471422,0.124008198,0.19134166,calibrated,WBM Input,Unknown,,
415,KS00013,23599,23599,38.974998,38.975,-98.474998,-98.475,736000,0.332880435,0.285383089,0.333910058,calibrated,WBM Input,Unknown,,
416,KS00017,31679,31679,37.708332,37.7083,-97.791664,-97.7917,566275,0.295033332,0.073758333,0.221274999,avge,WBM Input,Unknown,,
417,KS00019,15415,15415,38.791668,38.7917,-99.708336,-99.7083,730180,0.253485442,0.06337136,0.190114081,avge,WBM Input,Unknown,,
418,KS00022,27206,27206,39.658333,39.6583,-99.125,-99.125,513020,0.193949554,0.14459115,0.203721441,calibrated,WBM Input,Unknown,,
419,KS00023,50832,50832,39.891666,39.8917,-98.025002,-98.025,186290,0.223790864,0.142800746,0.20554099,calibrated,WBM Input,Unknown,,
420,KS00026,48263,48263,38.924999,38.925,-95.324997,-95.325,368700,0.299430431,0.326842116,0.380413924,calibrated,WBM Input,Unknown,,
421,KS00049,126781,126781,37.308334,37.3083,-95.458336,-95.4583,39540,0.682068791,0.633819118,0.694857501,calibrated,WBM Input,Unknown,,
422,KS02453,103986,103986,37.358334,37.3583,-96.89167,-96.8917,65300,0.303215926,0.075803982,0.227411945,avge,WBM Input,Unknown,,
423,KS02514,145721,145721,37.408333,37.4083,-95.324997,-95.325,38000,0.264473684,0.066118421,0.198355263,avge,WBM Input,Unknown,,
424,KS07006,103105,103105,38.241665,38.2417,-95.324997,-95.325,24000,0.183333333,0.045833333,0.1375,avge,WBM Input,Unknown,,
425,KS07757,175744,175744,39.458332,39.4583,-95.758331,-95.7583,22976,0.352411212,0.088102803,0.264308409,avge,WBM Input,Unknown,,
426,KS82201,77986,77986,38.641666,38.6417,-94.89167,-94.8917,160000,0.475,0.415052442,0.505671742,calibrated,WBM Input,Unknown,,
427,KY00088,158770,158770,37.191666,37.1917,-84.191666,-84.1917,44000,0.528863636,0.132215909,0.396647727,avge,WBM Input,Unknown,,
428,KY00110,167093,167093,37.091667,37.0917,-87.025002,-87.025,31000,0.459677419,0.114919355,0.344758065,avge,WBM Input,Unknown,,
429,KY00316,45593,45593,37.791668,37.7917,-84.708336,-84.7083,320000,0.7203125,0.180078125,0.540234375,avge,WBM Input,Unknown,,
430,KY03001,8676,8676,37.025002,37.025,-88.224998,-88.225,2082000,0.417387128,0.312834507,0.402251117,calibrated,WBM Input,Unknown,,
431,KY03007,37311,37311,37.241665,37.2417,-85.341667,-85.3417,723200,0.337527655,0.273459219,0.343959513,calibrated,WBM Input,Unknown,,
432,KY03009,32476,32476,36.891666,36.8917,-86.125,-86.125,815150,0.233478501,0.159894575,0.31849326,calibrated,WBM Input,Unknown,,
433,KY03010,14968,14968,36.875,36.875,-85.14167,-85.1417,6089000,0.351781902,0.441672614,0.623631642,calibrated,WBM Input,Unknown,,
434,KY03011,37081,37081,37.291668,37.2917,-86.224998,-86.225,609400,0.279192649,0.148080026,0.282247492,calibrated,WBM Input,Unknown,,
435,KY03012,46075,46075,37.625,37.625,-86.508331,-86.5083,334400,0.269736842,0.067434211,0.202302632,avge,WBM Input,Unknown,,
436,KY03027,46323,46323,37.341667,37.3417,-83.458336,-83.4583,167900,0.191185229,0.087400259,0.192912134,calibrated,WBM Input,Unknown,,
437,KY03028,47647,47647,37.424999,37.425,-82.408333,-82.4083,164360,0.229496228,0.114592445,0.176464153,calibrated,WBM Input,Unknown,,
438,KY03029,63306,63306,37.691635,37.6916,-82.708229,-82.7082,93300,0.184351554,0.123455986,0.177441912,calibrated,WBM Input,Unknown,,
439,KY03030,66006,66006,38.241665,38.2417,-82.991669,-82.9917,118990,0.246995546,0.166391681,0.249396752,calibrated,WBM Input,Unknown,,
440,KY03031,4280,4280,38.641666,38.6417,-82.85833,-82.8583,351700,1,0.25,0.75,avge,WBM Input,Unknown,,
441,KY03032,3729,3729,38.791668,38.7917,-84.175003,-84.175,609800,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
442,KY03033,3372,3372,38.775002,38.775,-84.958336,-84.9583,640700,0.717964726,0.179491182,0.538473545,avge,"No WBM Input, Hydro",ROR,,
443,KY03034,3174,3174,38.275002,38.275,-85.775002,-85.775,525260,0.775806267,0.193951567,0.581854701,avge,"No WBM Input, Hydro",ROR,,
444,KY03041,1940,1940,37.125,37.125,-88.64167,-88.6417,339600,0.23557126,0.058892815,0.176678445,avge,WBM Input,Unknown,,
445,KY03042,1917,1917,37.208332,37.2083,-89.025002,-89.025,388170,0.30399052,0.07599763,0.22799289,avge,WBM Input,Unknown,,
446,KY03046,58270,58270,36.958332,36.9583,-84.275002,-84.275,435600,0.424701561,0.10617539,0.318526171,avge,WBM Input,Unknown,,
447,KY03051,51797,51797,38.008335,38.0083,-85.291664,-85.2917,291670,0.296362327,0.284224906,0.30869576,calibrated,WBM Input,Unknown,,
448,KY03056,108993,108993,37.224998,37.225,-83.025002,-83.025,47700,0.474213836,0.350012195,0.480557191,calibrated,WBM Input,Unknown,,
449,KY03058,2996,2996,37.891666,37.8917,-86.708336,-86.7083,954400,0.663243923,0.165810981,0.497432942,avge,"No WBM Input, Hydro",ROR,,
450,KY03059,2950,2950,37.924999,37.925,-87.375,-87.375,581600,0.783700138,0.195925034,0.587775103,avge,WBM Input,Unknown,,
451,KY03060,2856,2856,37.791668,37.7917,-87.991669,-87.9917,740200,0.734750068,0.183687517,0.551062551,avge,WBM Input,Unknown,,
452,KY03061,120450,120450,36.758335,36.7583,-83.241669,-83.2417,21100,0.17535545,0.043838863,0.131516588,avge,WBM Input,Unknown,,
453,KY03065,67482,67482,38.125,38.125,-82.691666,-82.6917,83300,0.457382953,0.32725129,0.4650997,calibrated,WBM Input,Unknown,,
454,KY03066,89660,89660,37.858334,37.8583,-82.908333,-82.9083,73500,0.553741497,0.555352421,0.567579119,calibrated,WBM Input,Unknown,,
455,KY05017,5345,5345,37.008335,37.0083,-88.275002,-88.275,7535400,0.813157895,0.203289474,0.609868421,avge,WBM Input,Peaking,,
456,LA00002,26496,26496,32.341667,32.3417,-93.408333,-93.4083,318000,0.330188679,0.08254717,0.247641509,avge,WBM Input,Unknown,,
457,LA00003,61602,61602,32.891666,32.8917,-93.908333,-93.9083,46500,0.38172043,0.095430108,0.286290323,avge,WBM Input,Unknown,,
458,LA00006,3167991,3167991,30.741667,30.7417,-93.091667,-93.0917,57500,0.16,0.04,0.12,avge,WBM Input,Unknown,,
459,LA00011,80619,80619,32.741665,32.7417,-92.908333,-92.9083,200000,0.4975,0.124375,0.373125,avge,WBM Input,Unknown,,
460,LA00012,3151437,3151437,30.991667,30.9917,-92.35833,-92.3583,100000,0.09,0.0225,0.0675,avge,WBM Input,Unknown,,
461,LA00013,72297,72297,32.658333,32.6583,-93.658333,-93.6583,77000,0.324675325,0.081168831,0.243506494,avge,WBM Input,Unknown,,
462,LA00015,25449,25449,32.708332,32.7083,-92.341667,-92.3417,240000,0.541666667,0.135416667,0.40625,avge,WBM Input,Unknown,,
463,LA00018,59466,59466,31.541666,31.5417,-92.675003,-92.675,167000,0.185628743,0.046407186,0.139221557,avge,WBM Input,Unknown,,
464,LA00019,3151686,3151686,31.125,31.125,-92.458336,-92.4583,51250,0.487804878,0.12195122,0.365853659,avge,WBM Input,Unknown,,
465,LA00022,2800632,2800632,31.174999,31.175,-93.35833,-93.3583,99473,0.573019814,0.143254954,0.429764861,avge,WBM Input,Unknown,,
466,LA00026,46449,46449,31.858334,31.8583,-92.925003,-92.925,122000,0.491803279,0.12295082,0.368852459,avge,WBM Input,Unknown,,
467,LA00027,147586,147586,31.758333,31.7583,-93.125,-93.125,56700,0.343915344,0.085978836,0.257936508,avge,WBM Input,Unknown,,
468,LA00029,74398,74398,31.908333,31.9083,-91.775002,-91.775,85000,0.4,0.1,0.3,avge,WBM Input,Unknown,,
469,LA00030,2799597,2799597,31.174999,31.175,-93.558334,-93.5583,5097500,0.878273664,0.757978161,0.864101142,calibrated,WBM Input,Unknown,,
470,LA00031,112232,112232,31.325001,31.325,-92.724998,-92.725,49200,0.508130081,0.12703252,0.381097561,avge,WBM Input,Unknown,,
471,LA00050,3151698,3151698,31.275,31.275,-92.591667,-92.5917,48420,0.516315572,0.129078893,0.387236679,avge,WBM Input,Unknown,,
472,LA00175,7880,7880,31.475,31.475,-91.85833,-91.8583,149300,0.828533155,0.207133289,0.621399866,avge,WBM Input,Unknown,,
473,LA00177,9098,9098,32.174999,32.175,-92.10833,-92.1083,156800,0.605229592,0.151307398,0.453922194,avge,WBM Input,Unknown,,
474,LA00179,38308,38308,32.708332,32.7083,-93.508331,-93.5083,1197700,8.35E-07,2.09E-07,6.26E-07,avge,WBM Input,Unknown,,
475,LA00180,58101,58101,32.325001,32.325,-93.675003,-93.675,267748,0.028982476,0.007245619,0.021736857,avge,WBM Input,Unknown,,
476,LA00346,58364,58364,32.508335,32.5083,-93.808334,-93.8083,215000,0.3892,0.0973,0.2919,avge,WBM Input,Unknown,,
477,LA00385,123322,123322,32.224998,32.225,-92.508331,-92.5083,125000,0.6368,0.1592,0.4776,avge,WBM Input,Unknown,,
478,LA00387,76010,76010,32.008335,32.0083,-93.208336,-93.2083,66000,0.409090909,0.102272727,0.306818182,avge,WBM Input,Unknown,,
479,LA00513,32363,32363,32.508335,32.5083,-91.474998,-91.475,31000,0.516129032,0.129032258,0.387096774,avge,WBM Input,Unknown,,
480,LA00580,4313,4313,32.241665,32.2417,-93.491669,-93.4917,59900,0.717863105,0.179465776,0.538397329,avge,WBM Input,Unknown,,
481,LA00581,3888,3888,31.191668,31.1917,-92.291664,-92.2917,67500,1,0.25,0.75,avge,WBM Input,Unknown,,
482,LA00582,3980,3980,31.541666,31.5417,-92.741669,-92.7417,108500,1,0.25,0.75,avge,WBM Input,Unknown,,
483,LA00583,4097,4097,31.941668,31.9417,-93.275002,-93.275,70500,1,0.25,0.75,avge,WBM Input,Unknown,,
484,LA00584,3860,3860,31.258333,31.2583,-91.958336,-91.9583,100000,1,0.25,0.75,avge,WBM Input,Unknown,,
485,LA00598,221,221,31.108334,31.1083,-91.60833,-91.6083,0,,,,avge,"No WBM Input, Hydro",ROR,,
486,LA00689,19579,19579,31.475,31.475,-92.10833,-92.1083,294000,0.391156463,0.097789116,0.293367347,avge,WBM Input,Unknown,,
487,MA00068,2956173,2956173,42.141666,42.1417,-72.908333,-72.9083,96500,0.725388601,0.18134715,0.544041451,avge,WBM Input,Unknown,,
488,MA00499,2956859,2956859,42.241665,42.2417,-72.791664,-72.7917,25490,0.805413888,0.201353472,0.604060416,avge,WBM Input,Unknown,,
489,MA00588,2955633,2955633,42.291668,42.2917,-72.341667,-72.3417,1810000,0.699005525,0.44040338,0.668734477,calibrated,WBM Input,Unknown,,
490,MA00849,2955201,2955201,42.608334,42.6083,-72.558334,-72.5583,21500,0.772093023,0.193023256,0.579069767,avge,"No WBM Input, Hydro",ROR,,
491,MA00962,2956040,2956040,42.424999,42.425,-72.025002,-72.025,63000,1.59E-05,3.97E-06,1.19E-05,avge,WBM Input,Unknown,,
492,MA00963,2955628,2955628,42.625,42.625,-72.125,-72.125,76500,1,0.25,0.75,avge,WBM Input,Unknown,,
493,MA00966,3240104,3240104,42.108334,42.1083,-72.125,-72.125,71000,0.016901408,0.004225352,0.012676056,avge,WBM Input,Unknown,,
494,MA00967,3240140,3240140,42.141666,42.1417,-71.875,-71.875,26000,3.85E-05,9.62E-06,2.88E-05,avge,WBM Input,Unknown,,
495,MA00968,2956129,2956129,42.291668,42.2917,-72.89167,-72.8917,40600,0.231527094,0.283885216,0.287479458,calibrated,WBM Input,Unknown,,
496,MA00969,2955682,2955682,42.291668,42.2917,-72.85833,-72.8583,64000,0.000015625,3.91E-06,1.17E-05,avge,WBM Input,Unknown,,
497,MA00970,2956139,2956139,42.641666,42.6417,-72.208336,-72.2083,35800,0.041899441,0.01047486,0.031424581,avge,WBM Input,Unknown,,
498,MA00972,3240072,3240072,42.075001,42.075,-72.058334,-72.0583,24000,0.004166667,0.001041667,0.003125,avge,WBM Input,Unknown,,
499,MA00973,2955178,2955178,42.224998,42.225,-72.60833,-72.6083,26000,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
500,MA03154,3232921,3232921,41.858334,41.8583,-70.925003,-70.925,62000,0.903225806,0.225806452,0.677419355,avge,WBM Input,Unknown,,
501,MD00001,3297572,3297572,39.625,39.625,-76.708336,-76.7083,90100,0.667036626,0.166759156,0.500277469,avge,WBM Input,Unknown,,
502,MD00002,3297553,3297553,39.424999,39.425,-76.541664,-76.5417,145000,0.50137931,0.125344828,0.376034483,avge,WBM Input,Unknown,,
503,MD00003,3286960,3286960,39.391666,39.3917,-76.89167,-76.8917,177000,0.745762712,0.186440678,0.559322034,avge,WBM Input,Unknown,,
504,MD00014,2915700,2915700,39.508335,39.5083,-79.14167,-79.1417,31800,0.628930818,0.157232704,0.471698113,avge,WBM Input,Unknown,,
505,MD00020,3261043,3261043,39.125,39.125,-76.89167,-76.8917,59000,0.288135593,0.072033898,0.216101695,avge,WBM Input,Unknown,,
506,MD00069,2915448,2915448,39.424999,39.425,-79.125,-79.125,130900,0.723453018,0.180863254,0.542589763,avge,WBM Input,Unknown,,
507,MD00097,2678611,2678611,39.658333,39.6583,-76.175003,-76.175,310000,0.972258065,0.243064516,0.729193548,avge,WBM Input,Unknown,,
508,MD00271,2916879,2916879,39.158333,39.1583,-77.308334,-77.3083,24185,0.539590655,0.134897664,0.404692992,avge,WBM Input,Unknown,,
509,ME00012,3040961,3040961,44.525002,44.525,-70.541664,-70.5417,141,1,0.25,0.75,avge,"No WBM Input, Hydro",ROR,,
510,ME00016,3041942,3041942,44.108334,44.1083,-70.491669,-70.4917,29980,0.727151434,0.181787859,0.545363576,avge,WBM Input,Unknown,,
511,ME00024,3041279,3041279,44.941666,44.9417,-71.008331,-71.0083,321195,0.684942169,0.171235542,0.513706627,avge,WBM Input,Unknown,,
512,ME00025,3041148,3041148,44.775002,44.775,-70.925003,-70.925,130738,1,0.25,0.75,avge,WBM Input,Unknown,,
513,ME00026,3041184,3041184,44.875,44.875,-70.841667,-70.8417,192039,1,0.25,0.75,avge,WBM Input,Unknown,,
514,ME00029,3041441,3041441,44.958332,44.9583,-70.758331,-70.7583,39194,0.784405776,0.196101444,0.588304332,avge,WBM Input,Unknown,,
515,ME00033,3229418,3229418,43.575001,43.575,-70.558334,-70.5583,25250,1,0.25,0.75,avge,WBM Input,Run-of-river/Peaking,,
516,ME00050,3229553,3229553,44.141666,44.1417,-70.941666,-70.9417,22000,0.854545455,0.213636364,0.640909091,avge,WBM Input,Unknown,,
517,ME00061,3313052,3313052,44.608334,44.6083,-67.941666,-67.9417,59940,0.162162162,0.040540541,0.121621622,avge,WBM Input,Unknown,,
518,ME00070,3278648,3278648,43.825001,43.825,-70.441666,-70.4417,330000,1,0.25,0.75,avge,WBM Input,Unknown,,
519,ME00089,3040917,3040917,45.075001,45.075,-69.908333,-69.9083,208910,1,0.25,0.75,avge,WBM Input,Peaking,,
520,ME00090,3041008,3041008,45.458332,45.4583,-69.875,-69.875,78000,1,0.25,0.75,avge,WBM Input,Peaking,,
521,ME00091,3041026,3041026,45.591667,45.5917,-69.708336,-69.7083,1080000,1,0.25,0.75,avge,WBM Input,Unknown,,
522,ME00106,3041287,3041287,44.541668,44.5417,-69.724998,-69.725,110000,1,0.25,0.75,avge,WBM Input,Unknown,,
523,ME00112,3041263,3041263,44.891666,44.8917,-69.458336,-69.4583,26880,0.875,0.21875,0.65625,avge,WBM Input,Unknown,,
524,ME00127,3041114,3041114,45.224998,45.225,-70.191666,-70.1917,275482,1,0.25,0.75,avge,WBM Input,Unknown,,
525,ME00132,3041511,3041511,45.358334,45.3583,-69.875,-69.875,24960,0.75,0.1875,0.5625,avge,WBM Input,Unknown,,
526,ME00133,3041085,3041085,45.658333,45.6583,-69.808334,-69.8083,206000,1,0.25,0.75,avge,WBM Input,Unknown,,
527,ME00146,3060195,3060195,44.558334,44.5583,-68.658333,-68.6583,22300,0.080717489,0.020179372,0.060538117,avge,WBM Input,Unknown,,
528,ME00159,3059868,3059868,45.458332,45.4583,-68.85833,-68.8583,20160,0.8,0.2,0.6,avge,WBM Input,Unknown,,
529,ME00160,3060059,3060059,45.325001,45.325,-68.875,-68.875,22000,0.863636364,0.215909091,0.647727273,avge,WBM Input,Unknown,,
530,ME00163,3059409,3059409,45.275002,45.275,-69.125,-69.125,60330,1,0.25,0.75,avge,WBM Input,Unknown,,
531,ME00178,3059540,3059540,45.658333,45.6583,-67.875,-67.875,93952,0.24386921,0.060967302,0.182901907,avge,WBM Input,Unknown,,
532,ME00180,3059345,3059345,46.158333,46.1583,-68.791664,-68.7917,45800,0.903930131,0.225982533,0.677947598,avge,WBM Input,Unknown,,
533,ME00197,3059468,3059468,46.141666,46.1417,-69.125,-69.125,105200,0.096007605,0.024001901,0.072005703,avge,WBM Input,Unknown,,
534,ME00201,3059166,3059166,45.641666,45.6417,-68.60833,-68.6083,41956,1,0.25,0.75,avge,WBM Input,Run-of-river/Upstream Peaking,,
535,ME00202,3059174,3059174,45.641666,45.6417,-68.741669,-68.7417,8100,1,0.25,0.75,avge,WBM Input,Run-of-river/Upstream Peaking,,
536,ME00203,3059177,3059177,45.641666,45.6417,-68.791664,-68.7917,346000,1,0.25,0.75,avge,WBM Input,Peaking,,
537,ME00204,3059211,3059211,45.875,45.875,-69.175003,-69.175,688000,1,0.25,0.75,avge,WBM Input,Peaking,,
538,ME00205,3059681,3059681,45.741665,45.7417,-68.741669,-68.7417,45370,1,0.25,0.75,avge,WBM Input,Unknown,,
539,ME00206,3059317,3059317,45.908333,45.9083,-69.741669,-69.7417,117080,1,0.25,0.75,avge,WBM Input,Unknown,,
540,ME00209,3059975,3059975,45.791668,45.7917,-69.341667,-69.3417,30490,1,0.25,0.75,avge,WBM Input,Unknown,,
541,ME00211,3059513,3059513,46.191666,46.1917,-69.558334,-69.5583,42516,1,0.25,0.75,avge,WBM Input,Unknown,,
542,ME00215,3059501,3059501,45.875,45.875,-69.991669,-69.9917,21670,1,0.25,0.75,avge,WBM Input,Unknown,,
543,ME00221,3234346,3234346,45.658333,45.6583,-67.724998,-67.725,105300,1,0.25,0.75,avge,WBM Input,Unknown,,
544,ME00223,3234314,3234314,45.191666,45.1917,-67.775002,-67.775,160900,1,0.25,0.75,avge,WBM Input,Unknown,,
545,ME00228,3206138,3206138,46.291668,46.2917,-68.841667,-68.8417,22900,1,0.25,0.75,avge,WBM Input,Unknown,,
546,ME00234,3206121,3206121,46.558334,46.5583,-68.308334,-68.3083,59300,1,0.25,0.75,avge,WBM Input,Peaking,,
547,ME00237,3077464,3077464,46.491665,46.4917,-69.291664,-69.2917,99000,0.787878788,0.196969697,0.590909091,avge,WBM Input,Unknown,,
548,ME00238,3326251,3326251,44.075001,44.075,-69.525002,-69.525,142529,1,0.25,0.75,avge,WBM Input,Peaking,,
549,ME00264,3281931,3281931,44.591667,44.5917,-68.441666,-68.4417,130000,1,0.25,0.75,avge,WBM Input,Unknown,,
550,ME00266,3281963,3281963,44.625,44.625,-68.441666,-68.4417,107000,1,0.25,0.75,avge,WBM Input,Unknown,,
551,ME00334,3309772,3309772,45.008335,45.0083,-67.591667,-67.5917,22157,0.750011283,0.187502821,0.562508462,avge,WBM Input,Unknown,,
552,ME00335,3309780,3309780,44.758335,44.7583,-67.35833,-67.3583,32900,0.835866261,0.208966565,0.626899696,avge,WBM Input,Unknown,,
553,ME00602,3234375,3234375,45.208332,45.2083,-67.991669,-67.9917,123555,1,0.25,0.75,avge,WBM Input,Unknown,,
554,ME00604,3060090,3060090,45.474998,45.475,-69.525002,-69.525,20070,0.750024913,0.187506228,0.562518685,avge,WBM Input,Unknown,,
555,ME00652,3042233,3042233,45.241665,45.2417,-70.041664,-70.0417,27361,0.935638317,0.233909579,0.701728738,avge,WBM Input,Unknown,,
556,MI00153,1259332,1259332,46.391666,46.3917,-89.10833,-89.1083,36000,1,0.25,0.75,avge,WBM Input,Unknown,,
557,MI00155,1272786,1272786,45.991665,45.9917,-84.925003,-84.925,35000,0.585714286,0.146428571,0.439285714,avge,WBM Input,Unknown,,
558,MI00161,1246790,1246790,44.474998,44.475,-83.574997,-83.575,30000,1,0.25,0.75,avge,WBM Input,Reregulating,,
559,MI00169,1246727,1246727,44.424999,44.425,-83.425003,-83.425,30000,1,0.25,0.75,avge,WBM Input,Reregulating,,
560,MI00171,1246515,1246515,43.491665,43.4917,-85.625,-85.625,134973,0.963155594,0.240788899,0.722366696,avge,WBM Input,Reregulating,,
561,MI00175,1262190,1262190,46.575001,46.575,-87.591667,-87.5917,41666,0.75752412,0.18938103,0.56814309,avge,WBM Input,Peaking,,
562,MI00176,1261702,1261702,44.841667,44.8417,-83.591667,-83.5917,35200,0.971590909,0.242897727,0.728693182,avge,WBM Input,Unknown,,
563,MI00191,1249929,1249929,45.991665,45.9917,-88.191666,-88.1917,34250,1,0.25,0.75,avge,WBM Input,Peaking,,
564,MI00197,1280511,1280511,46.658333,46.6583,-87.841667,-87.8417,29300,0.955631399,0.23890785,0.716723549,avge,WBM Input,Unknown,,
565,MI00202,1261140,1261140,45.025002,45.025,-83.791664,-83.7917,55000,0.729090909,0.182272727,0.546818182,avge,WBM Input,Unknown,,
566,MI00205,1250397,1250397,46.158333,46.1583,-88.241669,-88.2417,125350,0.802489031,0.200622258,0.601866773,avge,WBM Input,Peaking,,
567,MI00349,1288670,1288670,44.641666,44.6417,-86.158333,-86.1583,27190,0.570798088,0.142699522,0.428098566,avge,WBM Input,Unknown,,
568,MI00487,1272516,1272516,46.441666,46.4417,-87.824997,-87.825,22750,0.791208791,0.197802198,0.593406593,avge,WBM Input,Unknown,,
569,MI00520,1247288,1247288,45.641666,45.6417,-84.474998,-84.475,83000,0.999361446,0.249840361,0.749521084,avge,WBM Input,Unknown,,
570,MI00521,1251067,1251067,45.558334,45.5583,-84.408333,-84.4083,105034,0.471237885,0.117809471,0.353428414,avge,WBM Input,Run-of-river/Peaking,,
571,MI00650,1242856,1242856,46.508335,46.5083,-84.35833,-84.3583,277540000,1,0.25,0.75,avge,WBM Input,Unknown,,
572,MN00001,176532,176532,45.791668,45.7917,-94.775002,-94.775,81434,0.921052632,0.230263158,0.690789474,avge,WBM Input,Unknown,,
573,MN00081,2754622,2754622,47.858334,47.8583,-93.408333,-93.4083,25844,0.785714286,0.196428571,0.589285714,avge,WBM Input,Unknown,,
574,MN00222,2640452,2640452,47.674999,47.675,-96.125,-96.125,20352,0.583333333,0.145833333,0.4375,avge,WBM Input,Unknown,,
