,NIDID,cell_id,cell_id_orig,lat,lat_orig,lon,lon_orig,res_capacity,storage_ratio,storage_ratio_25th,storage_ratio_75th,parameter_type,WBM_Decision,ror_type,,*res_capacity is maximum storage in acre-feet
89,AZ10310,2097265,2097265,33.974998,33.975,-111.708336,-111.7083,214372,0.613079133,0.153269783,0.45980935,avge,WBM Input,Unknown,,
90,AZ10311,2097321,2097321,33.591667,33.5917,-111.341667,-111.3417,261335,0.937677693,0.234419423,0.70325827,avge,WBM Input,Peaking,,
91,AZ10312,2095321,2095321,34.291668,34.2917,-114.14167,-114.1417,180000,1,3.067543425,3.312164272,calibrated,"No WBM Input, Hydro",ROR,,
92,AZ10313,2097287,2097287,33.558334,33.5583,-111.441666,-111.4417,57852,1,0.25,0.75,avge,WBM Input,Peaking,,
93,AZ10314,2095279,2095279,33.724998,33.725,-114.508331,-114.5083,5000,1,0.25,0.75,avge,WBM Input,Unknown,,
94,AZ10317,2097352,2097352,33.674999,33.675,-111.158333,-111.1583,3432408,0.481598633,0.120399658,0.361198975,avge,WBM Input,Peaking,,
95,AZ10318,2097249,2097249,33.558334,33.5583,-111.541664,-111.5417,70070,0.99564721,0.248911802,0.746735407,avge,WBM Input,Peaking,,
96,AZ82203,2097562,2097562,34.224998,34.225,-113.60833,-113.6083,1409000,7.10E-07,1.77E-07,5.32E-07,avge,WBM Input,Unknown,,
97,AZ82929,2099640,2099640,33.841667,33.8417,-112.275002,-112.275,1063163,0.763555541,0.190888885,0.572666656,avge,WBM Input,Unknown,,
98,CA00034,2402251,2402251,39.525002,39.525,-121.541664,-121.5417,580,1,0.25,0.75,avge,WBM Input,Unknown,,
99,CA00035,2402258,2402258,39.541668,39.5417,-121.491669,-121.4917,3540000,1,0.467268738,0.80010901,calibrated,WBM Input,Unknown,,
100,CA00049,2731294,2731294,34.291668,34.2917,-117.324997,-117.325,75000,1,0.25,0.75,avge,WBM Input,Unknown,,
101,CA00052,3231230,3231230,34.641666,34.6417,-118.758331,-118.7583,171000,0.994152047,0.248538012,0.745614035,avge,WBM Input,Unknown,,
102,CA00095,3086553,3086553,37.541668,37.5417,-118.591667,-118.5917,26,1,0.25,0.75,avge,WBM Input,Unknown,,
103,CA00123,2403709,2403709,37.941666,37.9417,-119.791664,-119.7917,360000,1,0.25,0.75,avge,WBM Input,Unknown,,
104,CA00125,2405429,2405429,37.991665,37.9917,-119.908333,-119.9083,273500,1,0.25,0.75,avge,WBM Input,Unknown,,
105,CA00164,2403540,2403540,38.258335,38.2583,-120.85833,-120.8583,198000,1,0.25,0.75,avge,WBM Input,Unknown,,
106,CA00173,2403445,2403445,38.224998,38.225,-121.025002,-121.025,417000,1,0.603898559,0.77121019,calibrated,WBM Input,Unknown,,
107,CA00200,3268885,3268885,34.208332,34.2083,-117.85833,-117.8583,45832,1,0.25,0.75,avge,WBM Input,Unknown,,
108,CA00227,2404483,2404483,39.058334,39.0583,-121.308334,-121.3083,137280,0.682837995,0.170709499,0.512128497,avge,WBM Input,Unknown,,
109,CA00240,2402912,2402912,37.591667,37.5917,-120.275002,-120.275,1100000,0.931454545,0.378094852,0.658345064,calibrated,WBM Input,Unknown,,
110,CA00245,2409232,2409232,39.441666,39.4417,-120.64167,-120.6417,68500,0.929927007,0.232481752,0.697445255,avge,WBM Input,Unknown,,
111,CA00254,2408187,2408187,39.508335,39.5083,-120.541664,-120.5417,69200,0.76734104,0.19183526,0.57550578,avge,WBM Input,Unknown,,
112,CA00255,2406297,2406297,39.141666,39.1417,-120.958336,-120.9583,65988,1,0.25,0.75,avge,WBM Input,Unknown,,
113,CA00263,2404353,2404353,38.208332,38.2083,-120.074997,-120.075,97800,0.996932515,0.364069521,0.834519405,calibrated,WBM Input,Unknown,,
114,CA00264,2404742,2404742,38.325001,38.325,-119.958336,-119.9583,65000,0.992307692,0.198039766,0.885025932,calibrated,WBM Input,Unknown,,
115,CA00268,2411826,2411826,39.591667,39.5917,-121.158333,-121.1583,5780,0.882352941,0.220588235,0.661764706,avge,WBM Input,Unknown,,
116,CA00269,2410263,2410263,39.708332,39.7083,-121.041664,-121.0417,94660,0.982569195,0.245642299,0.736926896,avge,WBM Input,Unknown,,
117,CA00272,2413288,2413288,39.575001,39.575,-121.14167,-121.1417,65650,0.990860625,0.247715156,0.743145468,avge,WBM Input,Unknown,,
118,CA00273,2406116,2406116,39.558334,39.5583,-121.191666,-121.1917,352,0.977272727,0.244318182,0.732954545,avge,WBM Input,Unknown,,
119,CA00281,2402612,2402612,37.708332,37.7083,-120.408333,-120.4083,2300000,0.882608696,0.600905342,0.740422622,calibrated,WBM Input,Unknown,,
120,CA00294,3214895,3214895,37.158333,37.1583,-121.64167,-121.6417,89073,1,0.25,0.75,avge,WBM Input,Unknown,,
121,CA00323,2871883,2871883,41.974998,41.975,-122.324997,-122.325,60000,0.781116667,0.195279167,0.5858375,avge,WBM Input,Unknown,,
122,CA00325,2871876,2871876,41.941666,41.9417,-122.441666,-122.4417,58000,0.327586207,0.081896552,0.245689655,avge,WBM Input,Unknown,,
123,CA00326,2406253,2406253,40.125,40.125,-121.158333,-121.1583,49897,0.998055995,0.249513999,0.748541997,avge,WBM Input,Unknown,,
124,CA00327,2403737,2403737,40.174999,40.175,-121.091667,-121.0917,1142964,0.997406742,0.249351686,0.748055057,avge,WBM Input,Unknown,,
125,CA00328,2402477,2402477,39.791668,39.7917,-121.441666,-121.4417,1204,0.955149502,0.238787375,0.716362126,avge,WBM Input,Unknown,,
126,CA00329,2402497,2402497,39.875,39.875,-121.375,-121.375,4140,0.483091787,0.120772947,0.362318841,avge,WBM Input,Peaking,,
127,CA00330,2402541,2402541,39.991665,39.9917,-121.275002,-121.275,4400,0.361363636,0.090340909,0.271022727,avge,WBM Input,Peaking,,
128,CA00332,2409351,2409351,39.908333,39.9083,-121.208336,-121.2083,105605,0.965863359,0.24146584,0.724397519,avge,WBM Input,Unknown,,
129,CA00333,2414817,2414817,39.908333,39.9083,-121.308334,-121.3083,1112,0.998201439,0.24955036,0.748651079,avge,WBM Input,Unknown,,
130,CA00335,2404768,2404768,36.924999,36.925,-119.025002,-119.025,1295,0.972972973,0.243243243,0.72972973,avge,WBM Input,Unknown,,
131,CA00337,2407722,2407722,37.308334,37.3083,-119.541664,-119.5417,45410,0.999779784,0.249944946,0.749834838,avge,WBM Input,Peaking,,
132,CA00340,2402626,2402626,37.125,37.125,-119.525002,-119.525,4252,0.999529633,0.249882408,0.749647225,avge,WBM Input,Unknown,,
133,CA00357,2409437,2409437,39.375,39.375,-120.491669,-120.4917,49903,0.935815482,0.233953871,0.701861612,avge,WBM Input,Unknown,,
134,CA00358,2405630,2405630,39.325001,39.325,-120.64167,-120.6417,74773,0.999023712,0.249755928,0.749267784,avge,WBM Input,Unknown,,
135,CA00378,2412037,2412037,38.691666,38.6917,-120.041664,-120.0417,22338,0.564061241,0.14101531,0.423045931,avge,WBM Input,Unknown,,
